Dates,Positives,Overall,Δ +,Δ total,Rate
8/6,12589.0,208725.0,71.0,2742.0,2.59
8/5,12518.0,205983.0,75.0,3158.0,2.37
8/4,12443.0,202825.0,45.0,2698.0,1.67
8/3,12398.0,200127.0,85.0,1312.0,6.48
8/2,12313.0,198815.0,39.0,1623.0,2.4
8/1,12274.0,197192.0,69.0,3411.0,2.02
7/31,12205.0,193781.0,148.0,10791.0,1.37
7/29,12057.0,182990.0,58.0,2941.0,1.97
7/28,11999.0,180049.0,54.0,2027.0,2.66
7/27,11945.0,178022.0,87.0,3874.0,2.25
7/26,11858.0,174148.0,78.0,2550.0,3.06
7/25,11780.0,171598.0,63.0,2589.0,2.43
7/24,11717.0,169009.0,68.0,3749.0,1.81
7/23,11649.0,165260.0,78.0,3239.0,2.41
7/22,11571.0,162021.0,42.0,2449.0,1.71
7/21,11529.0,159572.0,102.0,3861.0,2.64
7/20,11427.0,155711.0,88.0,3971.0,2.22
7/19,11339.0,151740.0,78.0,3975.0,1.96
7/18,11261.0,147765.0,67.0,2810.0,2.38
7/17,11194.0,144955.0,79.0,3348.0,2.36
7/16,11115.0,141607.0,39.0,1365.0,2.86
7/15,11076.0,140242.0,50.0,2298.0,2.18
7/14,11026.0,137944.0,80.0,4028.0,1.99
7/13,10946.0,133916.0,40.0,3696.0,1.08
7/12,10906.0,130220.0,59.0,3337.0,1.77
7/11,10847.0,126883.0,46.0,2833.0,1.62
7/10,10801.0,124050.0,58.0,3166.0,1.83
7/9,10743.0,120884.0,64.0,4961.0,1.29
7/8,10679.0,115923.0,37.0,1634.0,2.26
7/7,10642.0,114289.0,73.0,3912.0,1.87
7/6,10569.0,110377.0,54.0,2727.0,1.98
7/5,10515.0,107650.0,33.0,1657.0,1.99
7/4,10482.0,105993.0,35.0,1439.0,2.43
7/3,10447.0,104554.0,12.0,1745.0,0.69
7/2,10435.0,102809.0,45.0,1746.0,2.58
7/1,10390.0,101063.0,25.0,1028.0,2.43
6/30,10365.0,100035.0,38.0,2740.0,1.39
6/29,10327.0,97295.0,35.0,1935.0,1.81
6/28,10292.0,95360.0,44.0,2228.0,1.97
6/27,10248.0,93132.0,32.0,3861.0,0.83
6/26,10216.0,89271.0,31.0,1148.0,2.7
6/25,10185.0,88123.0,57.0,3950.0,1.44
6/23,10128.0,84173.0,34.0,871.0,3.9
6/22,10094.0,83302.0,36.0,1298.0,2.77
6/21,10058.0,82004.0,38.0,2482.0,1.53
6/20,10020.0,79522.0,36.0,1569.0,2.29
6/19,9984.0,77953.0,32.0,4162.0,0.77
6/18,9952.0,73791.0,49.0,1592.0,3.08
6/17,9903.0,72199.0,56.0,2113.0,2.65
6/16,9847.0,70086.0,29.0,2960.0,0.98
6/15,9818.0,67126.0,19.0,1280.0,1.48
6/14,9799.0,65846.0,32.0,1316.0,2.43
6/13,9767.0,64530.0,58.0,1494.0,3.88
6/12,9709.0,63036.0,55.0,1083.0,5.08
6/11,9654.0,61953.0,65.0,2665.0,2.44
6/10,9589.0,59288.0,52.0,1096.0,4.74
6/9,9537.0,58192.0,63.0,1040.0,6.06
